Kennziffer;Raumeinheit;Aggregat;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung
"06435";"Main-Kinzig-Kreis";"Landkreis";"80,4";"82,7";"78,5";"76,6";"71,7";"70,6";"75,5"
"06436";"Main-Taunus-Kreis";"Landkreis";"84,5";"85,9";"83,0";"81,7";"78,0";"77,1";"80,4"
"06437";"Odenwaldkreis";"Landkreis";"81,0";"83,4";"78,3";"75,8";"70,4";"70,5";"75,3"
"06438";"Offenbach";"Landkreis";"83,0";"84,0";"80,9";"78,9";"73,1";"73,2";"77,4"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"82,3";"84,3";"81,1";"79,8";"76,3";"75,9";"79,5"
"06440";"Wetteraukreis";"Landkreis";"80,4";"82,5";"78,4";"77,0";"73,2";"72,2";"77,1"
"06531";"Gießen";"Landkreis";"80,9";"82,4";"78,4";"75,8";"71,5";"71,4";"76,0"
"06532";"Lahn-Dill-Kreis";"Landkreis";"76,8";"80,1";"75,2";"73,3";"67,6";"67,1";"72,5"
"06533";"Limburg-Weilburg";"Landkreis";"80,6";"82,1";"77,6";"75,5";"70,1";"69,4";"75,1"
"06534";"Marburg-Biedenkopf";"Landkreis";"81,6";"83,6";"78,4";"76,8";"71,9";"69,3";"76,8"
"06535";"Vogelsbergkreis";"Landkreis";"80,2";"82,9";"77,5";"75,6";"71,1";"70,7";"74,3"
"06611";"Kassel, Stadt";"krsfr. Stadt";"78,7";"81,3";"75,3";"73,8";"68,0";"66,9";"72,0"
"06631";"Fulda";"Landkreis";"83,3";"84,4";"80,1";"76,6";"73,0";"71,6";"75,8"
"06632";"Hersfeld-Rotenburg";"Landkreis";"82,4";"84,7";"79,0";"77,0";"71,5";"70,5";"74,9"
"06633";"Kassel";"Landkreis";"84,2";"86,6";"81,4";"79,8";"73,8";"73,1";"77,4"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"83,9";"85,7";"79,5";"78,1";"72,6";"72,5";"76,6"
"06635";"Waldeck-Frankenberg";"Landkreis";"80,0";"82,7";"76,5";"75,2";"69,6";"69,0";"73,9"
"06636";"Werra-Meißner-Kreis";"Landkreis";"82,3";"84,8";"78,3";"77,2";"71,8";"70,8";"74,0"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"80,2";"80,8";"76,5";"74,8";"67,3";"69,7";"74,5"
"07131";"Ahrweiler";"Landkreis";"82,2";"83,4";"80,3";"79,2";"73,1";"74,3";"78,5"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"82,1";"82,5";"78,7";"76,0";"69,2";"70,3";"74,6"
"07133";"Bad Kreuznach";"Landkreis";"80,8";"82,6";"78,2";"76,7";"70,4";"71,1";"75,8"
"07134";"Birkenfeld";"Landkreis";"78,3";"79,9";"72,7";"73,0";"65,5";"65,8";"72,5"
"07135";"Cochem-Zell";"Landkreis";"83,3";"84,6";"80,6";"78,4";"71,7";"73,3";"77,3"
"07137";"Mayen-Koblenz";"Landkreis";"81,0";"82,7";"78,0";"76,7";"68,7";"71,2";"75,9"
"07138";"Neuwied";"Landkreis";"81,3";"83,1";"78,9";"77,7";"70,8";"71,9";"75,0"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"82,6";"82,3";"79,9";"77,5";"71,1";"72,1";"77,2"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"82,5";"82,8";"79,3";"76,6";"70,4";"71,3";"76,8"
"07143";"Westerwaldkreis";"Landkreis";"81,9";"83,3";"79,5";"77,5";"71,4";"72,7";"76,9"
"07211";"Trier, Stadt";"krsfr. Stadt";"76,9";"77,6";"74,0";"71,2";"67,2";"68,4";"74,2"
"07231";"Bernkastel-Wittlich";"Landkreis";"80,0";"81,6";"77,9";"76,7";"70,3";"71,2";"77,1"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"80,0";"81,0";"77,9";"76,2";"69,7";"70,6";"75,1"
